deferred_order	review_timing	entry_id	entry_name	target_fingerprint_id	structure_id	confidence	blocker_bucket	sample_review_priority	expected_import_potential	why_deferred	next_review_only_action	required_human_or_expert_action	would_unblock_if	decision	reviewer	reviewed_at	expert_note	allowed_future_reviewer_decisions	review_only_guardrail
1	review_after_exact40_packet_or_new_bounded_plan	m_csa:732	dCTP deaminase	metal_dependent_hydrolase	1XS1	medium	apo_or_holo_missing_cofactor	medium	medium_if_local_holo_or_cofactor_evidence_is_found	outside_exact40_recommended_human_review_plan_current_run	after_exact40_review_only_if_needed_search_local_holo_or_cofactor_evidence	Find local holo/cofactor evidence in the selected or alternate structure, or keep the row non-countable.	Local active-site evidence for expected cofactor family metal_ion is found in a selected or alternate structure.					accepted|rejected|needs_more_evidence|route_future_family	deferred_review_only_after_exact40_not_import_ready
2	review_after_exact40_packet_or_new_bounded_plan	m_csa:558	non-specific acid phosphatases (class A)	metal_dependent_hydrolase	1D2T	medium	apo_or_holo_missing_cofactor	medium	medium_if_local_holo_or_cofactor_evidence_is_found	outside_exact40_recommended_human_review_plan_current_run	after_exact40_review_only_if_needed_search_local_holo_or_cofactor_evidence	Find local holo/cofactor evidence in the selected or alternate structure, or keep the row non-countable.	Local active-site evidence for expected cofactor family metal_ion is found in a selected or alternate structure.					accepted|rejected|needs_more_evidence|route_future_family	deferred_review_only_after_exact40_not_import_ready
3	review_after_exact40_packet_or_new_bounded_plan	m_csa:931	aminoacyl-tRNA hydrolase	metal_dependent_hydrolase	2PTH	medium	apo_or_holo_missing_cofactor	medium	medium_if_local_holo_or_cofactor_evidence_is_found	outside_exact40_recommended_human_review_plan_current_run	after_exact40_review_only_if_needed_search_local_holo_or_cofactor_evidence	Find local holo/cofactor evidence in the selected or alternate structure, or keep the row non-countable.	Local active-site evidence for expected cofactor family metal_ion is found in a selected or alternate structure.					accepted|rejected|needs_more_evidence|route_future_family	deferred_review_only_after_exact40_not_import_ready
4	review_after_exact40_packet_or_new_bounded_plan	m_csa:906	gelatinase A	metal_dependent_hydrolase	1QIB	medium	apo_or_holo_missing_cofactor	medium	medium_if_local_holo_or_cofactor_evidence_is_found	outside_exact40_recommended_human_review_plan_current_run	after_exact40_review_only_if_needed_search_local_holo_or_cofactor_evidence	Find local holo/cofactor evidence in the selected or alternate structure, or keep the row non-countable.	Local active-site evidence for expected cofactor family metal_ion is found in a selected or alternate structure.					accepted|rejected|needs_more_evidence|route_future_family	deferred_review_only_after_exact40_not_import_ready
5	review_after_exact40_packet_or_new_bounded_plan	m_csa:763	picornain 3C	ser_his_acid_hydrolase	2BHG	medium	wrong_fingerprint_or_future_ontology_family	low	low_for_current_fingerprint_possible_future_ontology_signal	outside_exact40_recommended_human_review_plan_current_run	after_exact40_review_only_if_needed_preserve_as_future_family_or_schema_signal	Route to a future ontology/fingerprint family or confirm current-target rejection; do not import under the current fingerprint.	A future fingerprint/ontology family represents the routed mechanism, or expert review overturns the current-target mismatch.					accepted|rejected|needs_more_evidence|route_future_family	deferred_review_only_after_exact40_not_import_ready
6	review_after_exact40_packet_or_new_bounded_plan	m_csa:674	N-carbamoyl-D-amino-acid hydrolase	metal_dependent_hydrolase	1UF7	medium	apo_or_holo_missing_cofactor	medium	medium_if_local_holo_or_cofactor_evidence_is_found	outside_exact40_recommended_human_review_plan_current_run	after_exact40_review_only_if_needed_search_local_holo_or_cofactor_evidence	Find local holo/cofactor evidence in the selected or alternate structure, or keep the row non-countable.	Local active-site evidence for expected cofactor family metal_ion is found in a selected or alternate structure.					accepted|rejected|needs_more_evidence|route_future_family	deferred_review_only_after_exact40_not_import_ready
7	review_after_exact40_packet_or_new_bounded_plan	m_csa:820	Ulp1 peptidase	metal_dependent_hydrolase	2BKR	medium	wrong_fingerprint_or_future_ontology_family	low	low_for_current_fingerprint_possible_future_ontology_signal	outside_exact40_recommended_human_review_plan_current_run	after_exact40_review_only_if_needed_preserve_as_future_family_or_schema_signal	Route to a future ontology/fingerprint family or confirm current-target rejection; do not import under the current fingerprint.	A future fingerprint/ontology family represents the routed mechanism, or expert review overturns the current-target mismatch.					accepted|rejected|needs_more_evidence|route_future_family	deferred_review_only_after_exact40_not_import_ready
8	review_after_exact40_packet_or_new_bounded_plan	m_csa:805	staphopain	ser_his_acid_hydrolase	1X9Y	medium	wrong_fingerprint_or_future_ontology_family	low	low_for_current_fingerprint_possible_future_ontology_signal	outside_exact40_recommended_human_review_plan_current_run	after_exact40_review_only_if_needed_preserve_as_future_family_or_schema_signal	Route to a future ontology/fingerprint family or confirm current-target rejection; do not import under the current fingerprint.	A future fingerprint/ontology family represents the routed mechanism, or expert review overturns the current-target mismatch.					accepted|rejected|needs_more_evidence|route_future_family	deferred_review_only_after_exact40_not_import_ready
9	review_after_exact40_packet_or_new_bounded_plan	m_csa:624	bleomycin hydrolase	metal_dependent_hydrolase	1GCB	medium	wrong_fingerprint_or_future_ontology_family	low	low_for_current_fingerprint_possible_future_ontology_signal	outside_exact40_recommended_human_review_plan_current_run	after_exact40_review_only_if_needed_preserve_as_future_family_or_schema_signal	Route to a future ontology/fingerprint family or confirm current-target rejection; do not import under the current fingerprint.	A future fingerprint/ontology family represents the routed mechanism, or expert review overturns the current-target mismatch.					accepted|rejected|needs_more_evidence|route_future_family	deferred_review_only_after_exact40_not_import_ready
10	review_after_exact40_packet_or_new_bounded_plan	m_csa:830	ubiquitinyl hydrolase 1 (peptidase C30 type)	metal_dependent_hydrolase	2BX4	medium	wrong_fingerprint_or_future_ontology_family	low	low_for_current_fingerprint_possible_future_ontology_signal	outside_exact40_recommended_human_review_plan_current_run	after_exact40_review_only_if_needed_preserve_as_future_family_or_schema_signal	Route to a future ontology/fingerprint family or confirm current-target rejection; do not import under the current fingerprint.	A future fingerprint/ontology family represents the routed mechanism, or expert review overturns the current-target mismatch.					accepted|rejected|needs_more_evidence|route_future_family	deferred_review_only_after_exact40_not_import_ready
