current_target_fingerprint_id	routed_family_or_lane	entry_count	failure_mode_class	recommended_next_action	representative_entry_ids
metal_dependent_hydrolase	future unrepresented mechanism family	44	ontology_gap	cluster this bucket by EC, cofactor, and residue roles; choose next fingerprint family by burden and confusion frequency	m_csa:995,m_csa:806,m_csa:724,m_csa:559,m_csa:828,m_csa:768,m_csa:693,m_csa:835,m_csa:936,m_csa:908,m_csa:859,m_csa:672,m_csa:914,m_csa:940,m_csa:821,m_csa:957,m_csa:845,m_csa:712,m_csa:818,m_csa:816
metal_dependent_hydrolase	transferase/thioester-transfer family	22	ontology_gap	add transferase/thioester ontology lanes before broad scaling	m_csa:840,m_csa:783,m_csa:700,m_csa:999,m_csa:873,m_csa:867,m_csa:939,m_csa:702,m_csa:704,m_csa:898,m_csa:934,m_csa:915,m_csa:718,m_csa:929,m_csa:869,m_csa:815,m_csa:802,m_csa:871,m_csa:919,m_csa:932
metal_dependent_hydrolase	ATP-dependent phosphoryl-transfer/kinase family	20	heuristic_confusion	learned representation + explicit ATP-phosphoryl-transfer family ontology; add counterevidence separating water-mediated hydrolysis from acceptor phosphoryl transfer	m_csa:788,m_csa:534,m_csa:653,m_csa:779,m_csa:799,m_csa:883,m_csa:796,m_csa:885,m_csa:884,m_csa:920,m_csa:882,m_csa:911,m_csa:665,m_csa:876,m_csa:745,m_csa:849,m_csa:863,m_csa:989,m_csa:1000,m_csa:632
metal_dependent_hydrolase	oxidoreductase/redox family	16	ontology_gap_and_confusion	expand redox ontology beyond current flavin/heme seeds; prioritize NAD/PQQ/molybdenum/disulfide subclasses	m_csa:980,m_csa:925,m_csa:938,m_csa:673,m_csa:725,m_csa:741,m_csa:843,m_csa:982,m_csa:997,m_csa:858,m_csa:766,m_csa:715,m_csa:698,m_csa:981,m_csa:600,m_csa:660
heme_peroxidase_oxidase	oxidoreductase/redox family	10	ontology_gap_and_confusion	expand redox ontology beyond current flavin/heme seeds; prioritize NAD/PQQ/molybdenum/disulfide subclasses	m_csa:918,m_csa:792,m_csa:974,m_csa:891,m_csa:711,m_csa:984,m_csa:785,m_csa:734,m_csa:902,m_csa:701
metal_dependent_hydrolase	lyase/dehydratase or Schiff-base lyase family	9	ontology_gap_and_confusion	add lyase/dehydratase/Schiff-base fingerprints and keep current rejections as hard negatives	m_csa:963,m_csa:962,m_csa:961,m_csa:960,m_csa:846,m_csa:864,m_csa:689,m_csa:896,m_csa:683
heme_peroxidase_oxidase	lyase/dehydratase or Schiff-base lyase family	8	ontology_gap_and_confusion	add lyase/dehydratase/Schiff-base fingerprints and keep current rejections as hard negatives	m_csa:553,m_csa:947,m_csa:972,m_csa:910,m_csa:687,m_csa:684,m_csa:949,m_csa:708
metal_dependent_hydrolase	glycoside hydrolase family	7	ontology_gap	add glycoside hydrolase fingerprints and avoid treating all hydrolases as current metal/Ser-His targets	m_csa:510,m_csa:888,m_csa:1002,m_csa:913,m_csa:568,m_csa:881,m_csa:970
metal_dependent_hydrolase	isomerase/mutase family	5	ontology_gap	add isomerase/mutase fingerprint families and use these rows as negative controls for hydrolase/redox seeds	m_csa:943,m_csa:959,m_csa:890,m_csa:979,m_csa:738
flavin_dehydrogenase_reductase	future unrepresented mechanism family	4	ontology_gap	cluster this bucket by EC, cofactor, and residue roles; choose next fingerprint family by burden and confusion frequency	m_csa:767,m_csa:748,m_csa:719,m_csa:819
flavin_dehydrogenase_reductase	oxidoreductase/redox family	4	ontology_gap_and_confusion	expand redox ontology beyond current flavin/heme seeds; prioritize NAD/PQQ/molybdenum/disulfide subclasses	m_csa:804,m_csa:775,m_csa:752,m_csa:868
flavin_dehydrogenase_reductase	isomerase/mutase family	3	ontology_gap	add isomerase/mutase fingerprint families and use these rows as negative controls for hydrolase/redox seeds	m_csa:680,m_csa:983,m_csa:874
flavin_dehydrogenase_reductase	transferase/thioester-transfer family	3	ontology_gap	add transferase/thioester ontology lanes before broad scaling	m_csa:781,m_csa:993,m_csa:872
heme_peroxidase_oxidase	future unrepresented mechanism family	3	ontology_gap	cluster this bucket by EC, cofactor, and residue roles; choose next fingerprint family by burden and confusion frequency	m_csa:676,m_csa:787,m_csa:764
heme_peroxidase_oxidase	glycoside hydrolase family	3	ontology_gap	add glycoside hydrolase fingerprints and avoid treating all hydrolases as current metal/Ser-His targets	m_csa:834,m_csa:659,m_csa:807
metal_dependent_hydrolase	ASKHA sugar/acetate kinase ATP-phosphoryl-transfer family	3	ontology_gap_and_confusion	add ASKHA fingerprint/counterevidence lane	m_csa:643,m_csa:696,m_csa:592
metal_dependent_hydrolase	cysteine protease Cys-His-Asp hydrolase family	3	ontology_gap_and_policy_boundary	create separate cysteine protease fingerprint or explicit policy boundary; do not bulk-map to Ser-His hydrolase	m_csa:761,m_csa:953,m_csa:682
metal_dependent_hydrolase	ePK/ePK-like ATP-phosphoryl-transfer family	3	heuristic_confusion	defer to ePK candidate-level evidence system; require kinase-specific fingerprint and hard countercontrols before positive labels	m_csa:756,m_csa:760,m_csa:662
ser_his_acid_hydrolase	transferase/thioester-transfer family	3	ontology_gap	add transferase/thioester ontology lanes before broad scaling	m_csa:824,m_csa:602,m_csa:985
flavin_dehydrogenase_reductase	glycoside hydrolase family	2	ontology_gap	add glycoside hydrolase fingerprints and avoid treating all hydrolases as current metal/Ser-His targets	m_csa:655,m_csa:825
flavin_monooxygenase	ATP-dependent phosphoryl-transfer/kinase family	2	heuristic_confusion	learned representation + explicit ATP-phosphoryl-transfer family ontology; add counterevidence separating water-mediated hydrolysis from acceptor phosphoryl transfer	m_csa:669,m_csa:850
flavin_monooxygenase	future unrepresented mechanism family	2	ontology_gap	cluster this bucket by EC, cofactor, and residue roles; choose next fingerprint family by burden and confusion frequency	m_csa:675,m_csa:923
flavin_monooxygenase	transferase/thioester-transfer family	2	ontology_gap	add transferase/thioester ontology lanes before broad scaling	m_csa:928,m_csa:703
heme_peroxidase_oxidase	isomerase/mutase family	2	ontology_gap	add isomerase/mutase fingerprint families and use these rows as negative controls for hydrolase/redox seeds	m_csa:842,m_csa:736
metal_dependent_hydrolase	GHMP or related small-molecule kinase ATP-phosphoryl-transfer family	2	ontology_gap_and_confusion	add GHMP kinase fingerprint/counterevidence lane	m_csa:654,m_csa:778
metal_dependent_hydrolase	PfkB/ribokinase ATP-phosphoryl-transfer family	2	ontology_gap_and_confusion	add PfkB/ribokinase fingerprint after family evidence packet; use as high-priority ATP sibling family	m_csa:670,m_csa:663
metal_dependent_hydrolase	heme/peroxide chemistry family	2	review_boundary	route to expert review or heme-family expansion; require heme ligand and peroxide/O2 activation evidence	m_csa:829,m_csa:572
plp_dependent_enzyme	ATP-dependent phosphoryl-transfer/kinase family	2	heuristic_confusion	learned representation + explicit ATP-phosphoryl-transfer family ontology; add counterevidence separating water-mediated hydrolysis from acceptor phosphoryl transfer	m_csa:678,m_csa:870
plp_dependent_enzyme	future unrepresented mechanism family	2	ontology_gap	cluster this bucket by EC, cofactor, and residue roles; choose next fingerprint family by burden and confusion frequency	m_csa:726,m_csa:731
ser_his_acid_hydrolase	isomerase/mutase family	2	ontology_gap	add isomerase/mutase fingerprint families and use these rows as negative controls for hydrolase/redox seeds	m_csa:880,m_csa:948
ser_his_acid_hydrolase	oxidoreductase/redox family	2	ontology_gap_and_confusion	expand redox ontology beyond current flavin/heme seeds; prioritize NAD/PQQ/molybdenum/disulfide subclasses	m_csa:967,m_csa:889
cobalamin_radical_rearrangement	lyase/dehydratase or Schiff-base lyase family	1	ontology_gap_and_confusion	add lyase/dehydratase/Schiff-base fingerprints and keep current rejections as hard negatives	m_csa:494
flavin_dehydrogenase_reductase	lyase/dehydratase or Schiff-base lyase family	1	ontology_gap_and_confusion	add lyase/dehydratase/Schiff-base fingerprints and keep current rejections as hard negatives	m_csa:664
flavin_monooxygenase	glycoside hydrolase family	1	ontology_gap	add glycoside hydrolase fingerprints and avoid treating all hydrolases as current metal/Ser-His targets	m_csa:875
flavin_monooxygenase	heme/peroxide chemistry family	1	review_boundary	route to expert review or heme-family expansion; require heme ligand and peroxide/O2 activation evidence	m_csa:851
flavin_monooxygenase	oxidoreductase/redox family	1	ontology_gap_and_confusion	expand redox ontology beyond current flavin/heme seeds; prioritize NAD/PQQ/molybdenum/disulfide subclasses	m_csa:894
heme_peroxidase_oxidase	PLP-dependent enzyme family	1	review_boundary	review against PLP fingerprint criteria before promotion	m_csa:848
heme_peroxidase_oxidase	transferase/thioester-transfer family	1	ontology_gap	add transferase/thioester ontology lanes before broad scaling	m_csa:691
plp_dependent_enzyme	oxidoreductase/redox family	1	ontology_gap_and_confusion	expand redox ontology beyond current flavin/heme seeds; prioritize NAD/PQQ/molybdenum/disulfide subclasses	m_csa:803
ser_his_acid_hydrolase	ATP-dependent phosphoryl-transfer/kinase family	1	heuristic_confusion	learned representation + explicit ATP-phosphoryl-transfer family ontology; add counterevidence separating water-mediated hydrolysis from acceptor phosphoryl transfer	m_csa:975
ser_his_acid_hydrolase	PLP-dependent enzyme family	1	review_boundary	review against PLP fingerprint criteria before promotion	m_csa:707
ser_his_acid_hydrolase	ePK/ePK-like ATP-phosphoryl-transfer family	1	heuristic_confusion	defer to ePK candidate-level evidence system; require kinase-specific fingerprint and hard countercontrols before positive labels	m_csa:757
ser_his_acid_hydrolase	future unrepresented mechanism family	1	ontology_gap	cluster this bucket by EC, cofactor, and residue roles; choose next fingerprint family by burden and confusion frequency	m_csa:744
ser_his_acid_hydrolase	glycoside hydrolase family	1	ontology_gap	add glycoside hydrolase fingerprints and avoid treating all hydrolases as current metal/Ser-His targets	m_csa:826
