priority	entry_id	accession	fingerprint_id	assigned_embedding_split	template_chemical_operation_normalized	source_context_status	rhea_targets	rhea_lookup_required	source_record_id	source_database	source_record_version_or_date	row_specific_reaction_participant_mapping	row_specific_bond_change_events	active_site_residue_role_support	source_text_or_database_evidence_span	extractor_id	review_status	acceptance_criteria	notes
1	m_csa:5	P08819	ser_his_acid_hydrolase	train	nucleophilic_acyl_substitution	source_context_present_structured_bond_events_missing		true										all_required_fields_non_null;at_least_one_source_backed_bond_change_event;reaction_participant_mapping_covers_each_bond_change_event;active_site_residue_support_links_to_current_row_residues;review_status_approved_before_feature_contract_use	
2	m_csa:6	P00390	flavin_dehydrogenase_reductase	calibration	flavin_mediated_redox_transfer	source_context_present_structured_bond_events_missing	rhea:RHEA:11740	false										all_required_fields_non_null;at_least_one_source_backed_bond_change_event;reaction_participant_mapping_covers_each_bond_change_event;active_site_residue_support_links_to_current_row_residues;review_status_approved_before_feature_contract_use	
3	m_csa:11	P0A6C1	metal_dependent_hydrolase	train	metal_activated_water_attack	source_context_present_structured_bond_events_missing		true										all_required_fields_non_null;at_least_one_source_backed_bond_change_event;reaction_participant_mapping_covers_each_bond_change_event;active_site_residue_support_links_to_current_row_residues;review_status_approved_before_feature_contract_use	
4	m_csa:15	P25910	metal_dependent_hydrolase	train	metal_activated_water_attack	source_context_present_structured_bond_events_missing	rhea:RHEA:20401	false										all_required_fields_non_null;at_least_one_source_backed_bond_change_event;reaction_participant_mapping_covers_each_bond_change_event;active_site_residue_support_links_to_current_row_residues;review_status_approved_before_feature_contract_use	
5	m_csa:16	P04190	metal_dependent_hydrolase	train	metal_activated_water_attack	source_context_present_structured_bond_events_missing	rhea:RHEA:20401	false										all_required_fields_non_null;at_least_one_source_backed_bond_change_event;reaction_participant_mapping_covers_each_bond_change_event;active_site_residue_support_links_to_current_row_residues;review_status_approved_before_feature_contract_use	
6	m_csa:37	Q05769	heme_peroxidase_oxidase	train	heme_mediated_redox_catalysis	source_context_present_structured_bond_events_missing	rhea:RHEA:23728	false										all_required_fields_non_null;at_least_one_source_backed_bond_change_event;reaction_participant_mapping_covers_each_bond_change_event;active_site_residue_support_links_to_current_row_residues;review_status_approved_before_feature_contract_use	
7	m_csa:66	P19938	plp_dependent_enzyme	train	plp_stabilized_carbanion_chemistry	source_context_present_structured_bond_events_missing	rhea:RHEA:15869	false										all_required_fields_non_null;at_least_one_source_backed_bond_change_event;reaction_participant_mapping_covers_each_bond_change_event;active_site_residue_support_links_to_current_row_residues;review_status_approved_before_feature_contract_use	
8	m_csa:68	P26440	flavin_dehydrogenase_reductase	train	flavin_mediated_redox_transfer	source_context_present_structured_bond_events_missing	rhea:RHEA:12276	false										all_required_fields_non_null;at_least_one_source_backed_bond_change_event;reaction_participant_mapping_covers_each_bond_change_event;active_site_residue_support_links_to_current_row_residues;review_status_approved_before_feature_contract_use	
9	m_csa:94	Q29460	ser_his_acid_hydrolase	train	nucleophilic_acyl_substitution	source_context_present_structured_bond_events_missing	rhea:RHEA:17777	false										all_required_fields_non_null;at_least_one_source_backed_bond_change_event;reaction_participant_mapping_covers_each_bond_change_event;active_site_residue_support_links_to_current_row_residues;review_status_approved_before_feature_contract_use	
10	m_csa:102	P00175	flavin_dehydrogenase_reductase	train	flavin_mediated_redox_transfer	source_context_present_structured_bond_events_missing	rhea:RHEA:19909	false										all_required_fields_non_null;at_least_one_source_backed_bond_change_event;reaction_participant_mapping_covers_each_bond_change_event;active_site_residue_support_links_to_current_row_residues;review_status_approved_before_feature_contract_use	
11	m_csa:124	P00396	heme_peroxidase_oxidase	train	heme_mediated_redox_catalysis	source_context_present_structured_bond_events_missing		true										all_required_fields_non_null;at_least_one_source_backed_bond_change_event;reaction_participant_mapping_covers_each_bond_change_event;active_site_residue_support_links_to_current_row_residues;review_status_approved_before_feature_contract_use	
12	m_csa:133	P00183	heme_peroxidase_oxidase	calibration	heme_mediated_redox_catalysis	source_context_present_structured_bond_events_missing	rhea:RHEA:13525	false										all_required_fields_non_null;at_least_one_source_backed_bond_change_event;reaction_participant_mapping_covers_each_bond_change_event;active_site_residue_support_links_to_current_row_residues;review_status_approved_before_feature_contract_use	
13	m_csa:147	P07511	plp_dependent_enzyme	calibration	plp_stabilized_carbanion_chemistry	source_context_present_structured_bond_events_missing	rhea:RHEA:15481;rhea:RHEA:19625;rhea:RHEA:79695	false										all_required_fields_non_null;at_least_one_source_backed_bond_change_event;reaction_participant_mapping_covers_each_bond_change_event;active_site_residue_support_links_to_current_row_residues;review_status_approved_before_feature_contract_use	
14	m_csa:169	P27487	ser_his_acid_hydrolase	train	nucleophilic_acyl_substitution	source_context_present_structured_bond_events_missing		true										all_required_fields_non_null;at_least_one_source_backed_bond_change_event;reaction_participant_mapping_covers_each_bond_change_event;active_site_residue_support_links_to_current_row_residues;review_status_approved_before_feature_contract_use	
15	m_csa:186	P09367	plp_dependent_enzyme	calibration	plp_stabilized_carbanion_chemistry	source_context_present_structured_bond_events_missing	rhea:RHEA:19169	false										all_required_fields_non_null;at_least_one_source_backed_bond_change_event;reaction_participant_mapping_covers_each_bond_change_event;active_site_residue_support_links_to_current_row_residues;review_status_approved_before_feature_contract_use	
