workqueue_order	workqueue_phase	entry_id	entry_name	target_fingerprint_id	structure_id	structure_path	pymol_script_path	recommended_workflow	blocker_bucket	confidence	current_decision	decision	reviewer	reviewed_at	expert_note	confidence_override	reviewer_question	primary_next_action	allowed_decisions	stop_conditions	no_import_guard
1	clean10_fast_path	m_csa:954	isotuberculosinol synthase	metal_dependent_hydrolase	3WQL	artifacts/v3_mcsa_pymol_tenth_materialized_coordinates_20260522/pdb_3WQL.cif	artifacts/review_pymol/mcsa_ai_visual_exact40_20260524/m_csa_954.pml	clean10_fast_visual_review	clean_likely_positive	high	needs_more_evidence						Does the local structure and M-CSA mechanism support accepting metal_dependent_hydrolase, pending later gates?	Open the local PyMOL script, inspect the clean-likely-positive evidence, and fill the blank template only if human review is completed.	accepted | rejected | needs_more_evidence | route_future_family	structure_path_or_pymol_script_missing | active_site_geometry_not_the_expected_focus | cofactor_or_role_context_not_resolved_by_visual_review | current_target_not_supported_after_manual_review	review_only_no_label_import_no_import_preview_no_registry_or_fingerprint_edit
2	clean10_fast_path	m_csa:661	arylsulfatase	metal_dependent_hydrolase	1HDH	artifacts/v3_mcsa_pymol_eleventh_materialized_coordinates_20260522/pdb_1HDH.cif	artifacts/review_pymol/mcsa_ai_visual_exact40_20260524/m_csa_661.pml	clean10_fast_visual_review	clean_likely_positive	high	needs_more_evidence						Does the local structure and M-CSA mechanism support accepting metal_dependent_hydrolase, pending later gates?	Open the local PyMOL script, inspect the clean-likely-positive evidence, and fill the blank template only if human review is completed.	accepted | rejected | needs_more_evidence | route_future_family	structure_path_or_pymol_script_missing | active_site_geometry_not_the_expected_focus | cofactor_or_role_context_not_resolved_by_visual_review | current_target_not_supported_after_manual_review	review_only_no_label_import_no_import_preview_no_registry_or_fingerprint_edit
3	clean10_fast_path	m_csa:710	cytosine deaminase (bacterial)	metal_dependent_hydrolase	1RA0	artifacts/v3_mcsa_pymol_eleventh_materialized_coordinates_20260522/pdb_1RA0.cif	artifacts/review_pymol/mcsa_ai_visual_exact40_20260524/m_csa_710.pml	clean10_fast_visual_review	clean_likely_positive	high	needs_more_evidence						Does the local structure and M-CSA mechanism support accepting metal_dependent_hydrolase, pending later gates?	Open the local PyMOL script, inspect the clean-likely-positive evidence, and fill the blank template only if human review is completed.	accepted | rejected | needs_more_evidence | route_future_family	structure_path_or_pymol_script_missing | active_site_geometry_not_the_expected_focus | cofactor_or_role_context_not_resolved_by_visual_review | current_target_not_supported_after_manual_review	review_only_no_label_import_no_import_preview_no_registry_or_fingerprint_edit
4	clean10_fast_path	m_csa:791	colicin-E9	metal_dependent_hydrolase	1FR2	artifacts/v3_mcsa_pymol_eleventh_materialized_coordinates_20260522/pdb_1FR2.cif	artifacts/review_pymol/mcsa_ai_visual_exact40_20260524/m_csa_791.pml	clean10_fast_visual_review	clean_likely_positive	high	needs_more_evidence						Does the local structure and M-CSA mechanism support accepting metal_dependent_hydrolase, pending later gates?	Open the local PyMOL script, inspect the clean-likely-positive evidence, and fill the blank template only if human review is completed.	accepted | rejected | needs_more_evidence | route_future_family	structure_path_or_pymol_script_missing | active_site_geometry_not_the_expected_focus | cofactor_or_role_context_not_resolved_by_visual_review | current_target_not_supported_after_manual_review	review_only_no_label_import_no_import_preview_no_registry_or_fingerprint_edit
5	clean10_fast_path	m_csa:626	bontoxilysin	metal_dependent_hydrolase	1EPW	artifacts/v3_mcsa_pymol_eleventh_materialized_coordinates_20260522/pdb_1EPW.cif	artifacts/review_pymol/mcsa_ai_visual_exact40_20260524/m_csa_626.pml	clean10_fast_visual_review	clean_likely_positive	high	needs_more_evidence						Does the local structure and M-CSA mechanism support accepting metal_dependent_hydrolase, pending later gates?	Open the local PyMOL script, inspect the clean-likely-positive evidence, and fill the blank template only if human review is completed.	accepted | rejected | needs_more_evidence | route_future_family	structure_path_or_pymol_script_missing | active_site_geometry_not_the_expected_focus | cofactor_or_role_context_not_resolved_by_visual_review | current_target_not_supported_after_manual_review	review_only_no_label_import_no_import_preview_no_registry_or_fingerprint_edit
6	clean10_fast_path	m_csa:720	creatininase	metal_dependent_hydrolase	1J2U	artifacts/v3_mcsa_pymol_twelfth_materialized_coordinates_20260522/pdb_1J2U.cif	artifacts/review_pymol/mcsa_ai_visual_exact40_20260524/m_csa_720.pml	clean10_fast_visual_review	clean_likely_positive	high	needs_more_evidence						Does the local structure and M-CSA mechanism support accepting metal_dependent_hydrolase, pending later gates?	Open the local PyMOL script, inspect the clean-likely-positive evidence, and fill the blank template only if human review is completed.	accepted | rejected | needs_more_evidence | route_future_family	structure_path_or_pymol_script_missing | active_site_geometry_not_the_expected_focus | cofactor_or_role_context_not_resolved_by_visual_review | current_target_not_supported_after_manual_review	review_only_no_label_import_no_import_preview_no_registry_or_fingerprint_edit
7	clean10_fast_path	m_csa:596	deuterolysin	metal_dependent_hydrolase	1EB6	artifacts/v3_mcsa_pymol_twelfth_materialized_coordinates_20260522/pdb_1EB6.cif	artifacts/review_pymol/mcsa_ai_visual_exact40_20260524/m_csa_596.pml	clean10_fast_visual_review	clean_likely_positive	high	needs_more_evidence						Does the local structure and M-CSA mechanism support accepting metal_dependent_hydrolase, pending later gates?	Open the local PyMOL script, inspect the clean-likely-positive evidence, and fill the blank template only if human review is completed.	accepted | rejected | needs_more_evidence | route_future_family	structure_path_or_pymol_script_missing | active_site_geometry_not_the_expected_focus | cofactor_or_role_context_not_resolved_by_visual_review | current_target_not_supported_after_manual_review	review_only_no_label_import_no_import_preview_no_registry_or_fingerprint_edit
8	clean10_fast_path	m_csa:668	leishmanolysin	metal_dependent_hydrolase	1LML	artifacts/v3_mcsa_pymol_twelfth_materialized_coordinates_20260522/pdb_1LML.cif	artifacts/review_pymol/mcsa_ai_visual_exact40_20260524/m_csa_668.pml	clean10_fast_visual_review	clean_likely_positive	high	needs_more_evidence						Does the local structure and M-CSA mechanism support accepting metal_dependent_hydrolase, pending later gates?	Open the local PyMOL script, inspect the clean-likely-positive evidence, and fill the blank template only if human review is completed.	accepted | rejected | needs_more_evidence | route_future_family	structure_path_or_pymol_script_missing | active_site_geometry_not_the_expected_focus | cofactor_or_role_context_not_resolved_by_visual_review | current_target_not_supported_after_manual_review	review_only_no_label_import_no_import_preview_no_registry_or_fingerprint_edit
9	clean10_fast_path	m_csa:838	Colicin-E7	metal_dependent_hydrolase	1ZNV	artifacts/v3_mcsa_pymol_twelfth_materialized_coordinates_20260522/pdb_1ZNV.cif	artifacts/review_pymol/mcsa_ai_visual_exact40_20260524/m_csa_838.pml	clean10_fast_visual_review	clean_likely_positive	high	needs_more_evidence						Does the local structure and M-CSA mechanism support accepting metal_dependent_hydrolase, pending later gates?	Open the local PyMOL script, inspect the clean-likely-positive evidence, and fill the blank template only if human review is completed.	accepted | rejected | needs_more_evidence | route_future_family	structure_path_or_pymol_script_missing | active_site_geometry_not_the_expected_focus | cofactor_or_role_context_not_resolved_by_visual_review | current_target_not_supported_after_manual_review	review_only_no_label_import_no_import_preview_no_registry_or_fingerprint_edit
10	clean10_fast_path	m_csa:955	tuberculosinol synthase	metal_dependent_hydrolase	3WQL	artifacts/v3_mcsa_pymol_tenth_materialized_coordinates_20260522/pdb_3WQL.cif	artifacts/review_pymol/mcsa_ai_visual_exact40_20260524/m_csa_955.pml	clean10_fast_visual_review	clean_likely_positive	high	needs_more_evidence						Does the local structure and M-CSA mechanism support accepting metal_dependent_hydrolase, pending later gates?	Open the local PyMOL script, inspect the clean-likely-positive evidence, and fill the blank template only if human review is completed.	accepted | rejected | needs_more_evidence | route_future_family	structure_path_or_pymol_script_missing | active_site_geometry_not_the_expected_focus | cofactor_or_role_context_not_resolved_by_visual_review | current_target_not_supported_after_manual_review	review_only_no_label_import_no_import_preview_no_registry_or_fingerprint_edit
