workqueue_order	queue_lane	workqueue_phase	decision_template_row	entry_id	entry_name	target_fingerprint_id	structure_id	structure_path	structure_path_exists	pymol_script_path	pymol_script_exists	confidence	blocker_bucket	sample_review_priority	reviewer_question	primary_next_action	required_human_or_expert_action	would_unblock_if	decision	reviewer	reviewed_at	expert_note	confidence_override	allowed_decisions	review_only_guardrail
1	clean10_fast_visual_review	clean10_fast_path	1	m_csa:954	isotuberculosinol synthase	metal_dependent_hydrolase	3WQL	artifacts/v3_mcsa_pymol_tenth_materialized_coordinates_20260522/pdb_3WQL.cif	true	artifacts/review_pymol/mcsa_ai_visual_exact40_20260524/m_csa_954.pml	true	high	clean_likely_positive	high	Does the local structure and M-CSA mechanism support accepting metal_dependent_hydrolase, pending later gates?	Open the local PyMOL script, inspect the clean-likely-positive evidence, and fill the blank template only if human review is completed.	Human visual and biochemical accept-or-hold review; if accepted, use a later dedicated label-factory gate and import preview.	Human accepts the current target and a later dedicated gate/import preview passes without registry/fingerprint drift.						accepted|rejected|needs_more_evidence|route_future_family	review_only_not_import_ready_no_automation_decision
2	clean10_fast_visual_review	clean10_fast_path	2	m_csa:661	arylsulfatase	metal_dependent_hydrolase	1HDH	artifacts/v3_mcsa_pymol_eleventh_materialized_coordinates_20260522/pdb_1HDH.cif	true	artifacts/review_pymol/mcsa_ai_visual_exact40_20260524/m_csa_661.pml	true	high	clean_likely_positive	high	Does the local structure and M-CSA mechanism support accepting metal_dependent_hydrolase, pending later gates?	Open the local PyMOL script, inspect the clean-likely-positive evidence, and fill the blank template only if human review is completed.	Human visual and biochemical accept-or-hold review; if accepted, use a later dedicated label-factory gate and import preview.	Human accepts the current target and a later dedicated gate/import preview passes without registry/fingerprint drift.						accepted|rejected|needs_more_evidence|route_future_family	review_only_not_import_ready_no_automation_decision
3	clean10_fast_visual_review	clean10_fast_path	3	m_csa:710	cytosine deaminase (bacterial)	metal_dependent_hydrolase	1RA0	artifacts/v3_mcsa_pymol_eleventh_materialized_coordinates_20260522/pdb_1RA0.cif	true	artifacts/review_pymol/mcsa_ai_visual_exact40_20260524/m_csa_710.pml	true	high	clean_likely_positive	high	Does the local structure and M-CSA mechanism support accepting metal_dependent_hydrolase, pending later gates?	Open the local PyMOL script, inspect the clean-likely-positive evidence, and fill the blank template only if human review is completed.	Human visual and biochemical accept-or-hold review; if accepted, use a later dedicated label-factory gate and import preview.	Human accepts the current target and a later dedicated gate/import preview passes without registry/fingerprint drift.						accepted|rejected|needs_more_evidence|route_future_family	review_only_not_import_ready_no_automation_decision
4	clean10_fast_visual_review	clean10_fast_path	4	m_csa:791	colicin-E9	metal_dependent_hydrolase	1FR2	artifacts/v3_mcsa_pymol_eleventh_materialized_coordinates_20260522/pdb_1FR2.cif	true	artifacts/review_pymol/mcsa_ai_visual_exact40_20260524/m_csa_791.pml	true	high	clean_likely_positive	high	Does the local structure and M-CSA mechanism support accepting metal_dependent_hydrolase, pending later gates?	Open the local PyMOL script, inspect the clean-likely-positive evidence, and fill the blank template only if human review is completed.	Human visual and biochemical accept-or-hold review; if accepted, use a later dedicated label-factory gate and import preview.	Human accepts the current target and a later dedicated gate/import preview passes without registry/fingerprint drift.						accepted|rejected|needs_more_evidence|route_future_family	review_only_not_import_ready_no_automation_decision
5	clean10_fast_visual_review	clean10_fast_path	5	m_csa:626	bontoxilysin	metal_dependent_hydrolase	1EPW	artifacts/v3_mcsa_pymol_eleventh_materialized_coordinates_20260522/pdb_1EPW.cif	true	artifacts/review_pymol/mcsa_ai_visual_exact40_20260524/m_csa_626.pml	true	high	clean_likely_positive	high	Does the local structure and M-CSA mechanism support accepting metal_dependent_hydrolase, pending later gates?	Open the local PyMOL script, inspect the clean-likely-positive evidence, and fill the blank template only if human review is completed.	Human visual and biochemical accept-or-hold review; if accepted, use a later dedicated label-factory gate and import preview.	Human accepts the current target and a later dedicated gate/import preview passes without registry/fingerprint drift.						accepted|rejected|needs_more_evidence|route_future_family	review_only_not_import_ready_no_automation_decision
6	clean10_fast_visual_review	clean10_fast_path	6	m_csa:720	creatininase	metal_dependent_hydrolase	1J2U	artifacts/v3_mcsa_pymol_twelfth_materialized_coordinates_20260522/pdb_1J2U.cif	true	artifacts/review_pymol/mcsa_ai_visual_exact40_20260524/m_csa_720.pml	true	high	clean_likely_positive	high	Does the local structure and M-CSA mechanism support accepting metal_dependent_hydrolase, pending later gates?	Open the local PyMOL script, inspect the clean-likely-positive evidence, and fill the blank template only if human review is completed.	Human visual and biochemical accept-or-hold review; if accepted, use a later dedicated label-factory gate and import preview.	Human accepts the current target and a later dedicated gate/import preview passes without registry/fingerprint drift.						accepted|rejected|needs_more_evidence|route_future_family	review_only_not_import_ready_no_automation_decision
7	clean10_fast_visual_review	clean10_fast_path	7	m_csa:596	deuterolysin	metal_dependent_hydrolase	1EB6	artifacts/v3_mcsa_pymol_twelfth_materialized_coordinates_20260522/pdb_1EB6.cif	true	artifacts/review_pymol/mcsa_ai_visual_exact40_20260524/m_csa_596.pml	true	high	clean_likely_positive	high	Does the local structure and M-CSA mechanism support accepting metal_dependent_hydrolase, pending later gates?	Open the local PyMOL script, inspect the clean-likely-positive evidence, and fill the blank template only if human review is completed.	Human visual and biochemical accept-or-hold review; if accepted, use a later dedicated label-factory gate and import preview.	Human accepts the current target and a later dedicated gate/import preview passes without registry/fingerprint drift.						accepted|rejected|needs_more_evidence|route_future_family	review_only_not_import_ready_no_automation_decision
8	clean10_fast_visual_review	clean10_fast_path	8	m_csa:668	leishmanolysin	metal_dependent_hydrolase	1LML	artifacts/v3_mcsa_pymol_twelfth_materialized_coordinates_20260522/pdb_1LML.cif	true	artifacts/review_pymol/mcsa_ai_visual_exact40_20260524/m_csa_668.pml	true	high	clean_likely_positive	high	Does the local structure and M-CSA mechanism support accepting metal_dependent_hydrolase, pending later gates?	Open the local PyMOL script, inspect the clean-likely-positive evidence, and fill the blank template only if human review is completed.	Human visual and biochemical accept-or-hold review; if accepted, use a later dedicated label-factory gate and import preview.	Human accepts the current target and a later dedicated gate/import preview passes without registry/fingerprint drift.						accepted|rejected|needs_more_evidence|route_future_family	review_only_not_import_ready_no_automation_decision
9	clean10_fast_visual_review	clean10_fast_path	9	m_csa:838	Colicin-E7	metal_dependent_hydrolase	1ZNV	artifacts/v3_mcsa_pymol_twelfth_materialized_coordinates_20260522/pdb_1ZNV.cif	true	artifacts/review_pymol/mcsa_ai_visual_exact40_20260524/m_csa_838.pml	true	high	clean_likely_positive	high	Does the local structure and M-CSA mechanism support accepting metal_dependent_hydrolase, pending later gates?	Open the local PyMOL script, inspect the clean-likely-positive evidence, and fill the blank template only if human review is completed.	Human visual and biochemical accept-or-hold review; if accepted, use a later dedicated label-factory gate and import preview.	Human accepts the current target and a later dedicated gate/import preview passes without registry/fingerprint drift.						accepted|rejected|needs_more_evidence|route_future_family	review_only_not_import_ready_no_automation_decision
10	clean10_fast_visual_review	clean10_fast_path	10	m_csa:955	tuberculosinol synthase	metal_dependent_hydrolase	3WQL	artifacts/v3_mcsa_pymol_tenth_materialized_coordinates_20260522/pdb_3WQL.cif	true	artifacts/review_pymol/mcsa_ai_visual_exact40_20260524/m_csa_955.pml	true	high	clean_likely_positive	high	Does the local structure and M-CSA mechanism support accepting metal_dependent_hydrolase, pending later gates?	Open the local PyMOL script, inspect the clean-likely-positive evidence, and fill the blank template only if human review is completed.	Human visual and biochemical accept-or-hold review; if accepted, use a later dedicated label-factory gate and import preview.	Human accepts the current target and a later dedicated gate/import preview passes without registry/fingerprint drift.						accepted|rejected|needs_more_evidence|route_future_family	review_only_not_import_ready_no_automation_decision
